,Company,Inches,ScreenResolution,CpuVenderName,CpuType,CpuSpeed,Ram,Memory,GpuName,OpSys,Weight,Price_euros
422,7,15.6,8,1,68,2.9,8.0,18,2,6,2.31,1427.0
423,2,15.6,8,1,38,2.4,8.0,15,3,1,2.3,597.0
424,4,17.3,10,1,67,2.9,16.0,24,3,6,4.42,2799.0
425,4,15.6,15,1,66,2.8,8.0,20,3,6,2.62,1159.0
426,4,15.6,8,1,70,1.8,8.0,30,0,6,2.02,1142.4
427,4,14.0,8,1,64,2.8,8.0,18,2,1,1.6,1099.0
428,7,17.3,8,1,66,2.8,12.0,24,3,6,3.35,1999.0
429,12,11.6,13,1,22,1.1,4.0,6,2,6,1.16,299.0
430,15,11.6,0,1,21,1.6,4.0,2,2,3,1.15,269.0
431,10,13.3,15,1,62,2.7,8.0,18,2,6,1.4,1010.0
432,10,14.0,15,1,39,2.7,4.0,10,2,6,1.7,599.0
433,10,15.6,12,1,64,2.8,16.0,27,3,6,2.3,2445.0
434,10,15.6,8,1,68,2.9,16.0,27,3,6,2.5,2449.0
435,2,17.3,8,0,88,3.2,8.0,24,0,6,3.2,1695.0
436,7,15.6,0,1,21,1.6,4.0,11,2,6,2.1,347.0
437,6,12.3,38,1,69,1.3,16.0,27,2,3,1.1,2199.0
438,10,14.0,4,1,62,2.7,24.0,27,2,6,1.32,2382.0
439,2,15.6,8,1,46,2.5,4.0,18,2,1,2.0,559.0
440,10,17.3,2,0,7,2.5,8.0,15,0,6,2.8,519.0
441,4,15.6,8,1,53,1.6,4.0,18,0,6,2.2,749.0
442,10,12.5,15,1,46,2.5,8.0,18,2,6,1.36,1429.0
443,10,15.6,8,1,87,1.1,4.0,10,2,6,2.2,349.0
444,7,15.6,15,1,66,2.8,8.0,20,3,6,2.2,1099.0
445,4,14.0,8,1,49,2.8,8.0,18,3,6,1.64,1179.0
446,0,15.6,0,1,46,2.5,4.0,11,2,1,2.4,441.8
447,4,15.6,8,1,90,3.0,8.0,19,3,6,2.23,1993.0
448,11,15.6,8,1,47,2.5,8.0,18,3,6,2.2,1027.74
449,13,13.5,37,1,65,2.5,16.0,27,2,5,1.25,2589.0
450,7,15.6,0,1,46,2.5,8.0,10,2,6,1.91,589.0
451,4,15.6,15,1,60,2.7,16.0,18,3,6,2.17,1975.0
452,7,15.6,15,1,68,2.9,8.0,27,2,6,2.31,1534.0
453,10,14.0,8,1,46,2.5,8.0,18,2,6,1.65,1345.0
454,4,15.6,8,1,70,1.8,8.0,20,0,6,2.36,979.0
455,4,11.6,36,1,86,1.6,4.0,11,2,6,1.47,479.0
456,4,17.3,15,1,66,2.7,8.0,15,3,6,4.42,2046.0
457,13,13.5,37,1,34,2.2,4.0,10,2,5,1.252,989.0
458,13,13.5,37,1,65,2.5,8.0,18,2,5,1.25,1799.0
459,7,17.3,2,1,36,2.0,8.0,18,2,6,2.5,639.9
460,0,15.6,8,1,36,2.0,4.0,15,3,6,2.23,544.0
461,0,11.6,0,1,21,1.6,4.0,10,2,6,1.4,435.0
462,2,15.6,8,1,46,2.5,8.0,15,2,6,2.37,749.0
463,10,14.0,15,1,62,2.7,8.0,27,0,0,1.5,799.0
464,10,15.6,8,1,68,2.9,8.0,18,3,6,2.67,2090.0
465,2,15.6,0,1,87,1.1,4.0,11,2,6,2.0,304.0
466,0,15.6,0,1,36,2.0,4.0,11,3,6,2.2,469.0
467,4,15.6,8,1,53,1.6,8.0,22,0,6,2.02,759.0
468,7,17.3,15,1,66,2.8,12.0,15,3,6,3.78,1699.0
469,10,14.0,20,1,57,2.6,12.0,18,2,6,1.4,1858.0
470,7,13.3,11,1,70,1.8,8.0,27,2,6,1.29,1999.0
471,7,15.6,8,1,46,2.5,8.0,11,0,6,1.9,1154.0
472,6,12.3,38,1,52,1.2,8.0,10,2,3,1.1,1275.0
473,4,13.3,7,1,53,1.6,8.0,18,2,6,1.42,1841.85
474,2,15.6,12,1,58,2.6,12.0,20,2,6,2.06,1299.0
475,4,14.0,0,1,37,2.3,8.0,10,2,6,1.79,740.0
476,4,15.6,8,1,66,2.8,8.0,18,3,6,1.78,2408.0
477,10,14.0,8,1,46,2.5,8.0,12,2,6,1.7,1364.0
478,4,15.6,8,1,53,1.6,8.0,15,0,6,2.2,675.0
479,16,13.3,15,1,46,2.5,8.0,18,2,6,1.05,1672.0
480,4,15.6,15,1,70,1.8,8.0,27,3,6,2.16,1262.0
481,4,15.6,0,1,38,2.4,4.0,15,2,6,2.18,586.6
482,7,13.3,15,1,53,1.6,4.0,10,2,6,1.49,726.0
483,3,15.6,8,1,16,1.44,4.0,7,2,6,1.89,248.9
484,10,15.6,0,1,36,2.0,4.0,10,2,6,2.3,565.0
485,10,14.0,15,1,53,1.6,8.0,18,2,6,1.75,1049.0
486,4,15.6,15,1,60,2.7,16.0,27,3,6,2.17,2338.0
487,4,15.6,8,1,66,2.8,16.0,27,3,6,2.06,1899.0
488,10,12.5,15,1,62,2.7,16.0,27,2,6,1.36,1798.0
489,2,12.5,8,1,62,2.7,16.0,27,2,6,0.91,1950.0
490,10,15.6,15,1,46,2.5,8.0,18,3,6,2.3,1011.99
491,16,13.3,7,1,62,2.7,32.0,27,2,6,1.05,2799.0
492,2,15.6,8,1,66,2.8,8.0,20,3,6,1.99,1350.0
493,0,15.6,0,0,1,2.5,8.0,15,0,6,2.2,579.0
494,2,17.3,13,1,58,2.6,24.0,24,3,6,4.33,1269.0
495,10,12.5,9,1,41,2.3,8.0,12,2,6,1.3,1099.0
496,10,15.6,8,1,70,1.8,8.0,18,2,6,2.17,898.9
497,7,14.0,8,1,64,2.8,8.0,33,2,6,1.48,1749.0
498,10,13.3,15,1,38,2.4,8.0,18,2,6,1.4,949.0
499,10,15.6,15,1,46,2.5,8.0,18,2,6,2.3,911.0
500,2,11.6,0,1,22,1.1,4.0,7,2,5,1.2,340.0
501,7,15.6,0,1,46,2.5,8.0,18,0,6,1.91,618.99
502,10,13.9,13,1,53,1.6,8.0,18,2,6,1.4,1599.0
503,10,14.0,0,1,22,1.1,4.0,11,2,6,2.1,299.0
504,10,11.6,0,1,21,1.6,4.0,3,2,3,1.25,265.0
505,10,13.3,8,1,46,2.5,8.0,18,2,6,1.44,949.0
506,2,15.6,8,1,62,2.7,8.0,24,2,6,2.0,1224.0
507,0,15.6,15,1,53,1.6,4.0,15,3,6,2.2,613.0
508,7,13.3,15,1,62,2.7,8.0,27,2,6,1.34,1323.0
509,10,15.6,15,1,66,2.8,8.0,24,3,0,2.4,1149.0
510,4,13.3,13,1,46,2.5,8.0,10,2,6,1.29,899.0
511,0,15.6,8,1,62,2.7,4.0,11,3,6,2.2,639.0
512,4,15.6,8,1,46,2.5,8.0,15,2,6,2.18,836.0
513,4,15.6,8,1,70,1.8,16.0,30,0,6,2.2,1219.24
514,18,15.6,15,1,70,1.8,16.0,18,3,0,1.95,1399.95
515,2,11.6,0,1,22,1.1,2.0,4,2,6,1.1,245.0
516,7,15.6,36,1,53,1.6,4.0,15,2,6,2.04,521.47
517,2,15.6,8,1,66,2.8,24.0,27,3,6,2.24,2968.0
518,7,15.6,8,1,46,2.5,8.0,18,3,6,2.04,889.0
519,2,17.3,8,1,66,2.8,16.0,24,3,6,3.0,1504.0
520,10,15.6,15,1,66,2.8,8.0,24,3,6,3.2,1399.0
521,7,13.3,15,1,62,2.7,8.0,18,2,6,1.32,1399.0
522,4,14.0,8,1,48,2.6,8.0,18,2,6,1.64,1279.73
523,7,15.6,0,1,36,2.0,4.0,10,2,6,1.63,689.0
524,4,17.3,15,1,53,1.6,8.0,20,0,1,2.8,889.0
525,10,14.0,8,1,41,2.3,8.0,18,2,4,2.02,1340.0
526,10,15.6,8,1,62,2.7,4.0,15,3,6,2.2,799.0
527,10,15.6,0,1,36,2.0,8.0,22,3,0,2.2,459.0
528,4,15.6,8,1,46,2.5,4.0,11,0,6,2.3,585.0
529,4,15.6,8,1,49,2.8,8.0,18,2,6,1.9,1377.0
530,4,17.3,15,1,66,2.8,16.0,20,3,6,4.42,3012.77
531,16,15.6,15,1,46,2.5,8.0,11,2,6,2.0,860.0
532,2,15.6,12,1,62,2.7,8.0,24,3,6,2.0,1299.0
